Sample ID,Family ID,Sex,Population,Superpopulation,Repository,BaseSpace link,ENA link,Coriell link,Affected,References
HG00583,SH054,M,CHS,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281770/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955459,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00583,NA,1kg_phase3;1kg_GRCh38
HG00584,SH054,F,CHS,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283447/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955453,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00584,NA,1kg_phase3;1kg_GRCh38
HG00595,SH058,M,CHS,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/282557/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955506,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00595,NA,1kg_phase3;1kg_GRCh38
HG00596,SH058,F,CHS,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281771/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955452,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00596,NA,1kg_phase3;1kg_GRCh38
HG00610,SH063,M,CHS,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/282558/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955402,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00610,NA,1kg_phase3;1kg_GRCh38
HG00611,SH063,F,CHS,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281772/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955523,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00611,NA,1kg_phase3;1kg_GRCh38
HG00613,SH064,M,CHS,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281773/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955497,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00613,NA,1kg_phase3;1kg_GRCh38
HG00614,SH064,F,CHS,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/284614/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955501,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00614,NA,1kg_phase3;1kg_GRCh38
HG00650,SH072,M,CHS,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281774/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955407,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00650,NA,1kg_phase3;1kg_GRCh38
HG00651,SH072,F,CHS,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281775/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955530,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00651,NA,1kg_phase3;1kg_GRCh38
