Sample ID,Family ID,Sex,Population,Superpopulation,Repository,BaseSpace link,ENA link,Coriell link,Affected,References
NA07348,1345,F,CEU,EUR,NIGMS,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955333,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595625",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA07348,NA,GeT-RM PGx 28;1kg_phase3
NA07357,1345,M,CEU,EUR,NIGMS,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955334,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595626",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA07357,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA10854,1349,F,CEU,EUR,NIGMS,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955338,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595630",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA10854,NA,GeT-RM PGx 28;1kg_phase3
NA11839,1349,M,CEU,EUR,NIGMS,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955340,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595632",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA11839,NA,GeT-RM PGx 28;1kg_phase3
NA11832,1350,F,CEU,EUR,NIGMS,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955339,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595631",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA11832,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA12717,1358,F,CEU,EUR,NIGMS,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955346,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595638",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA12717,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA11993,1362,F,CEU,EUR,NIGMS,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955341,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595633",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA11993,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA10831,1408,F,CEU,EUR,NIGMS,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955335,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595627",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA10831,NA,GeT-RM PGx 28;1kg_phase3
NA12156,1408,F,CEU,EUR,NIGMS,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955345,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595637",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA12156,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA12003,1420,M,CEU,EUR,NIGMS,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955342,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595634",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA12003,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA12006,1420,F,CEU,EUR,NIGMS,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955343,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595635",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA12006,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA12813,1454,F,CEU,EUR,NIGMS,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955347,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595639",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA12813,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA12873,1459,F,CEU,EUR,NIGMS,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955348,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595640",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA12873,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
HG00276,NA,F,FIN,EUR,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955323,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595615",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00276,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA20509,NA,M,TSI,EUR,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955391,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595683",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA20509,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA21781,NA,M,NA,NA,NIGMS,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955392,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595684",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA21781,NA,GeT-RM PGx 28
